timestamp,peak,type
2026-05-06 11:27:55.436518,-470.43882039569223,beta
2026-05-06 11:27:55.436577,-3171.042912672857,alpha
2026-05-06 11:27:55.436635,-1320.6256436548842,beta
2026-05-06 11:27:55.436699,-3439.933700946913,alpha
2026-05-06 11:27:55.436764,-1577.5829090994666,beta
2026-05-06 11:27:55.436829,-5205.57063691056,alpha
2026-05-06 11:27:55.436890,-2788.9643752785623,alpha
2026-05-06 11:27:55.436961,-3865.8823510717607,alpha
2026-05-06 11:27:55.437017,-1007.9921480715054,beta
2026-05-06 11:27:55.437075,-1110.7205845211809,beta
2026-05-06 11:27:55.437132,-2472.263164244406,beta
2026-05-06 11:27:55.437187,-912.3133768805224,beta
2026-05-06 11:27:55.437247,-2852.5877352383686,alpha
2026-05-06 11:27:55.437300,-1403.079576161701,beta
2026-05-06 11:27:55.437357,-1159.17828273592,beta
2026-05-06 11:27:55.437418,-2115.8041895356846,beta
2026-05-06 11:27:55.437476,-2509.5421943709152,alpha
2026-05-06 11:27:55.437534,-1978.0383870109856,beta
2026-05-06 11:27:55.437590,-2242.167538808443,beta
2026-05-06 11:27:55.437654,-1277.5349042122675,beta
2026-05-06 11:27:55.437713,-1909.7685194658577,beta
2026-05-06 11:27:55.437768,-847.7492895917751,beta
2026-05-06 11:27:55.437835,-563.0097927806105,beta
2026-05-06 11:27:55.520297,-954.594184646618,beta
2026-05-06 11:27:55.520334,-1101.663912093211,beta
2026-05-06 11:27:55.520365,-1493.7111117853437,beta
2026-05-06 11:27:55.520397,-1062.8424366041572,beta
2026-05-06 11:27:55.520428,-695.4051841721538,beta
2026-05-06 11:27:55.520463,-1873.0737389839142,beta
2026-05-06 11:27:55.520495,-999.5487443014792,beta
2026-05-06 11:27:55.520522,-2536.369589531181,alpha
2026-05-06 11:27:55.520554,-447.5300397215749,beta
2026-05-06 11:27:55.520585,-1105.312861067359,beta
2026-05-06 11:27:55.520613,-1183.0766679421622,beta
2026-05-06 11:27:55.520645,-1121.9828234141978,beta
2026-05-06 11:27:55.520675,-1624.46522220318,beta
2026-05-06 11:27:55.520702,-1794.2587320339362,beta
2026-05-06 11:27:55.520728,-2276.1275389972943,beta
2026-05-06 11:27:55.520757,-1348.3881984297827,beta
2026-05-06 11:27:55.520784,-1486.3596882285751,beta
2026-05-06 11:27:55.520832,-1931.219692669647,beta
2026-05-06 11:27:55.520862,-678.6417804108671,beta
2026-05-06 11:27:55.520888,-1452.137648992075,beta
2026-05-06 11:27:55.520920,-717.0650973976905,beta
2026-05-06 11:27:55.520948,-1837.253250782203,beta
2026-05-06 11:27:55.520977,-897.8315931671284,beta
2026-05-06 11:27:55.521016,-1598.959339829667,beta
2026-05-06 11:27:55.521040,-2022.8973549510129,beta
2026-05-06 11:27:55.521078,-1385.4318347276942,beta
2026-05-06 11:27:55.521111,-3426.352398474397,alpha
2026-05-06 11:27:55.521141,-2038.6143635385474,beta
2026-05-06 11:27:55.521172,-3100.3002009892934,alpha
2026-05-06 11:27:55.521208,-1747.875618084571,beta
2026-05-06 11:27:55.521245,-2539.4084802332777,alpha
2026-05-06 11:27:55.521275,-1298.1965164292426,beta
2026-05-06 11:27:55.521307,-1617.262833777631,beta
2026-05-06 11:27:55.521341,-3003.6765772825047,alpha
2026-05-06 11:27:55.521377,-4583.105912329304,alpha
2026-05-06 11:27:55.521411,-8616.068226826628,alpha
2026-05-06 11:27:55.521444,-962.0803919737989,beta
2026-05-06 11:27:55.521478,-2773.0880346580498,alpha
2026-05-06 11:27:55.606212,-1989.825699742772,beta
2026-05-06 11:27:55.606282,-7011.43991209586,alpha
2026-05-06 11:27:55.606342,-6321.250002335666,alpha
2026-05-06 11:27:55.606412,-5734.851153481745,alpha
2026-05-06 11:27:55.606482,-1181.7929065301914,beta
2026-05-06 11:27:55.606540,-1350.3963718031598,beta
2026-05-06 11:27:55.606612,-6674.809745625078,alpha
2026-05-06 11:27:55.606663,-448.2258942614006,beta
2026-05-06 11:27:55.606715,-758.8271564707999,beta
2026-05-06 11:27:55.606773,-2279.3628589629,beta
2026-05-06 11:27:55.606860,-1985.2559511210234,beta
2026-05-06 11:27:55.606938,-430.54047893846274,beta
2026-05-06 11:27:55.606992,-1881.4380820037313,beta
2026-05-06 11:27:55.607062,-756.1603073213604,beta
2026-05-06 11:27:55.607149,-750.7411282539815,beta
2026-05-06 11:27:55.607198,-607.0190620434463,beta
2026-05-06 11:27:55.607247,-636.2229220463113,beta
2026-05-06 11:27:55.607300,-617.4562733834649,beta
2026-05-06 11:27:55.607358,-817.7314997649869,beta
2026-05-06 11:27:55.607418,-1141.5761827375522,beta
2026-05-06 11:27:55.607474,-1483.628255135514,beta
2026-05-06 11:27:55.607534,-1304.3524797081488,beta
2026-05-06 11:27:55.607590,-880.6392252181749,beta
2026-05-06 11:27:55.607642,-1424.5288115203098,beta
2026-05-06 11:27:55.607694,-793.18798715579,beta
2026-05-06 11:27:55.607747,-683.902067814974,beta
2026-05-06 11:27:55.607821,-1326.8429045451035,beta
2026-05-06 11:27:55.607871,-719.3101940079279,beta
2026-05-06 11:27:55.607921,-487.2636422292452,beta
2026-05-06 11:27:55.607973,-1957.1155241201138,beta
2026-05-06 11:27:55.608027,-417.45960654268936,beta
2026-05-06 11:27:55.608082,-541.0758473677425,beta
2026-05-06 11:27:55.608133,-763.8664388607368,beta
2026-05-06 11:27:55.608188,-1056.6672551604356,beta
2026-05-06 11:27:55.608250,-821.0560642062896,beta
2026-05-06 11:27:55.691601,-842.9829497465798,beta
2026-05-06 11:27:55.691674,-1503.6589358944752,beta
2026-05-06 11:27:55.691740,-2288.560322922055,beta
2026-05-06 11:27:55.691864,-415.6659643919441,beta
2026-05-06 11:27:55.691923,-436.88942285368086,beta
2026-05-06 11:27:55.691977,-1016.9921677927,beta
2026-05-06 11:27:55.692035,-2064.5581881121097,beta
2026-05-06 11:27:55.692093,-720.7141636668429,beta
2026-05-06 11:27:55.692150,-571.0155094574964,beta
2026-05-06 11:27:55.692213,-1384.616275983179,beta
2026-05-06 11:27:55.692274,-1705.9547327269281,beta
2026-05-06 11:27:55.692335,-8940.444951622929,alpha
2026-05-06 11:27:55.692406,-6353.13525120004,alpha
2026-05-06 11:27:55.692483,-2661.9400899911475,alpha
2026-05-06 11:27:55.692562,-6339.2779203931495,alpha
2026-05-06 11:27:55.692626,-1514.6775266204531,beta
2026-05-06 11:27:55.692683,-687.48340830603,beta
2026-05-06 11:27:55.692754,-4508.677054391923,alpha
2026-05-06 11:27:55.692819,-710.1621409076981,beta
2026-05-06 11:27:55.692879,-605.2732705995959,beta
2026-05-06 11:27:55.692938,-3942.0394741662076,alpha
2026-05-06 11:27:55.693014,-431.5502929277286,beta
2026-05-06 11:27:55.693074,-661.4967451393129,beta
2026-05-06 11:27:55.693141,-1615.9374644686554,beta
2026-05-06 11:27:55.693200,-667.7298011020746,beta
2026-05-06 11:27:55.693260,-900.9676682226764,beta
2026-05-06 11:27:55.693329,-1014.0327533509178,beta
2026-05-06 11:27:55.693389,-3129.888033137037,alpha
2026-05-06 11:27:55.693454,-5131.706305746044,alpha
2026-05-06 11:27:55.693519,-3835.751866449947,alpha
2026-05-06 11:27:55.693583,-1879.9802703058656,beta
2026-05-06 11:27:55.693652,-1694.3975679378307,beta
2026-05-06 11:27:55.693724,-1632.9989506004692,beta
2026-05-06 11:27:55.693801,-2356.749581014455,beta
2026-05-06 11:27:55.693870,-2486.111639846895,beta
2026-05-06 11:27:55.693936,-593.63037462702,beta
2026-05-06 11:27:55.693999,-807.0430722164211,beta
2026-05-06 11:27:55.776876,-1319.8110866141892,beta
2026-05-06 11:27:55.776955,-1158.6685465021421,beta
2026-05-06 11:27:55.777014,-417.53321637537,beta
2026-05-06 11:27:55.777062,-484.13942174153044,beta
2026-05-06 11:27:55.777115,-1949.9879749610725,beta
2026-05-06 11:27:55.777168,-1024.7236245185863,beta
2026-05-06 11:27:55.777224,-666.7006823221177,beta
2026-05-06 11:27:55.777278,-598.8972173011157,beta
2026-05-06 11:27:55.777333,-667.0089292522997,beta
2026-05-06 11:27:55.777385,-712.2389109751077,beta
2026-05-06 11:27:55.777443,-1130.2026976683405,beta
2026-05-06 11:27:55.777492,-665.8187844643626,beta
2026-05-06 11:27:55.777549,-903.9418872437258,beta
2026-05-06 11:27:55.777606,-733.8416594597788,beta
2026-05-06 11:27:55.777669,-767.3417123314973,beta
2026-05-06 11:27:55.777723,-704.2637276118608,beta
2026-05-06 11:27:55.777783,-580.2969106559548,beta
2026-05-06 11:27:55.777858,-669.4179390040728,beta
2026-05-06 11:27:55.777924,-1214.4083972233748,beta
2026-05-06 11:27:55.777985,-1116.1660693537115,beta
2026-05-06 11:27:55.778035,-703.361576123426,beta
2026-05-06 11:27:55.778096,-1869.2473232829964,beta
2026-05-06 11:27:55.778149,-1045.2994838516415,beta
2026-05-06 11:27:55.778207,-419.5305578113981,beta
2026-05-06 11:27:55.778262,-460.30339416643096,beta
2026-05-06 11:27:55.778323,-1615.3439797000156,beta
2026-05-06 11:27:55.778380,-1117.8663787479209,beta
2026-05-06 11:27:55.778435,-1164.5956817002584,beta
2026-05-06 11:27:55.778493,-2071.9605023648546,beta
2026-05-06 11:27:55.778548,-744.2937500073507,beta
2026-05-06 11:27:55.778599,-956.8730809682072,beta
2026-05-06 11:27:55.778675,-555.6641522891418,beta
2026-05-06 11:27:55.778739,-1777.6008509181984,beta
2026-05-06 11:27:55.778799,-685.2756332797212,beta
2026-05-06 11:27:55.778865,-1083.115719644889,beta
2026-05-06 11:27:55.778922,-469.19518879196085,beta
2026-05-06 11:27:55.778979,-573.6364712398187,beta
2026-05-06 11:27:55.862191,-1426.2353234045313,beta
2026-05-06 11:27:55.862253,-607.250664673348,beta
2026-05-06 11:27:55.862308,-1308.4260402294249,beta
2026-05-06 11:27:55.862366,-949.6747701583199,beta
2026-05-06 11:27:55.862420,-1034.414022006693,beta
2026-05-06 11:27:55.862474,-1330.729779866087,beta
2026-05-06 11:27:55.862529,-1713.9697962055263,beta
2026-05-06 11:27:55.862580,-1634.3800793513806,beta
